id,track,artist,release,image
1,Jigsaw Falling Into Place,Radiohead,2007-12-28,inrainbows.png
2,Where I End and You Begin,Radiohead,2003-06-09,httt.png
3,Nude,Radiohead,2007-12-28,inrainbows.png
4,On tha linë,Yeat,2022-02-18,2alive.png
5,Weird Fishes/ Arpeggi,Radiohead,2007-12-28,inrainbows.png
6,Yah Mean,Playboi Carti,2017-04-14,carti.jpg
7,Princess Diana,Ice Spice,2023-04-18,diana.png
8,Out thë way,Yeat,2022-09-09,lyfe.webp
9,How to Disappear Completely,Radiohead,2000-10-02,kida.png
10,Kicking Cars,Panchiko,2000-12-05,deathmetal.webp
11,In Ha Mood,Ice Spice,2023-01-06,hamood.jpg
12,Wat it feel lykë,Yeat,2022-09-09,lyfe.webp
13,In Limbo,Radiohead,2000-10-02,kida.png
14,M.... She Wrote,Tay-K,2017-12-14,santanaworld.jpg
15,D>E>A>T>H>M>E>T>A>L,Panchiko,2000-12-05,deathmetal.webp
16,Sunset,LUCKI,2017-08-05,sunset.jpg
17,Morning Bell,Radiohead,2000-10-02,kida.png
18,Lean 4 Real,"Playboi Carti,Skepta",2018-05-11,dielit.jpg
19,Swërved It,Yeat,2021-09-10,up2me.png
20,Dead n Gone,Luci4,2021-06-06,deadngone.jpg
21,Fake Plastic Trees,Radiohead,1995-03-13,thebends.png
22,Saran Pack,Tay-K,2017-12-14,santanaworld.jpg
23,Poppin,Yeat,2022-02-18,2alive.png
24,life imitates life,quannnic,2022-02-28,kenopsia.jpg
25,Idioteque,Radiohead,2000-10-02,kida.png
26,Nodding Off,Narrow Head,2020-08-28,12houserock.jpg
27,Black Beatles,"Rae Sremmurd,Gucci Mane",2016-08-12,sremmlife2.jpg
28,**** ME OUT,NLE Choppa,2023-04-14,slutmeout.jpg
29,Everything In Its Right Place,Radiohead,2000-10-02,kida.png
30,Moonlight on the River,Mac DeMarco,2017-05-05,thisolddog.png
31,Nun id change,Yeat,2023-02-24,afterlyfe.jpg
32,Ashtray,Narrow Head,2020-08-14,satisfaction.jpg
33,Knives Out,Radiohead,2001-03-12,amnesiac.png
34,Youngest Daughter,Superheaven,2013-04-05,jar.jpg
35,Out My Way,LUCKI,2019-02-15,freewave3.jpg
36,Money Twërk,Yeat,2021-06-10,4l.jpg
37,High and Dry,Radiohead,1995-03-13,thebends.png
38,KEKE,"6ix9ine,Fetty Wap,A Boogie Wit da Hoodie",2018-04-10,gradday.jpg
39,Bikini Bottom,Ice Spice,2023-07-21,bikinibottom.jpg
40,Talk,Yeat,2022-09-09,lyfe.webp
41,Bloom,Radiohead,2011-02-18,tkol.png
42,Serpentskirt,Cocteau Twins,1996-03,milkkisses.jpg
43,Stay,Narrow Head,2020-08-14,satisfaction.jpg
44,Let It Go,Playboi Carti,2017-04-14,carti.jpg
45,You And Whose Army?,Radiohead,2001-03-12,amnesiac.png
46,Money Trees,"Kendrick Lamar,Jay Rock",2012,maadcity.jpg
47,Nervous Habits,Narrow Head,2020-08-14,farremoved.jpg
48,Be Quiet and Drive (Far Away),Deftones,1997-10-27,atf.jpg
49,Scatterbrain,Radiohead,2003-06-09,httt.png
50,PTPOM 2.0,"Mohead Mike,Moneybagg Yo,Big Boogie",2022-02-25,ptpom.jpg
51,Magnolia,Playboi Carti,2017-04-14,carti.jpg
52,Father Stretch My Hands Pt. 1,Kanye West,2016-06-10,pablo.jpg
53,2 + 2 = 5,Radiohead,2003-06-09,httt.png
54,JETLGGD,Destroy Lonely,2022-08-12,nostylist.jpg
55,Relay,trauma ray,2018-09-21,tr.jpg
56,The Way Things Are,Fiona Apple,1999-11-09,pawn.jpg
57,Bodysnatchers,Radiohead,2007-12-28,inrainbows.png
58,HiiiPower,Kendrick Lamar,2011-07-02,section80.jpg
59,Emmadazey,Narrow Head,2020-08-28,12houserock.jpg
60,435,"Tyler, The Creator",2018-06-08,435.jpg
61,Black Star,Radiohead,1995-03-13,thebends.png
62,Into Me,Glare,2017-04-29,intoyou.jpg
63,Make It Hurt,Narrow Head,2020-08-14,farremoved.jpg
64,Wokeup,KANKAN,2021-10-25,wokeup.jpg
65,All I Need,Radiohead,2007-12-28,inrainbows.png
66,Heaven or Las Vegas,Cocteau Twins,1990-09-17,heavenorlasvegas.jpg
67,valium,Levi Ryan,2022-05-21,valium.jpg
68,Lit Like Bic,Rae Sremmurd,2015-01-06,sremmlife.jpg
69,Karma Police,Radiohead,1997-05-28,okcomputer.png
70,Ponderosa Sun Club,Narrow Head,2020-08-28,12houserock.jpg
71,Fade Into You,Mazzy Star,1993-10-05,sotonight.jpg
72,Location,Playboi Carti,2017-04-14,carti.jpg
73,Lucky,Radiohead,1997-05-28,okcomputer.png
74,Love Scars,Trippie Redd,2017-05-14,lovescars.jpg
75,In The Party,Flo Milli,2020-07-24,intheparty.jpg
76,Ghostride,Crumb,2019-06-14,jinx.jpg
77,Lift,Radiohead,2017-06-23,oknotok.jpg
78,Champagne Supernova,Oasis,1995,morningglory.jpg
79,CUT,Panchiko,2000-12-05,deathmetal.webp
80,Dark Knight Dummo,"Trippie Redd,Travis Scott",2018-08-10,trip.jpg
81,Reckoner,Radiohead,2007-12-28,inrainbows.png
82,Rich ***** ****,"21 Savage,Metro Boomin,Young Thug",2020-10-02,savage2.png
83,"*****, Don’t Kill My Vibe - Remix","Kendrick Lamar,JAY-Z",2012,maadcity.jpg
84,In Slow Time,Narrow Head,2020-08-14,farremoved.jpg
85,Kid A,Radiohead,2000-10-02,kida.png
86,"Sea, Swallow Me","Cocteau Twins,Harold Budd",1986-11-10,moonmelodies.jpg
87,Chamber Of Reflection,Mac DeMarco,2014-03-28,saladdays.jpg
88,See You Again,"Tyler, The Creator,Kali Uchis",2017-07-21,seeuagain.jpg
89,Let Down,Radiohead,1997-05-28,okcomputer.png
90,Sunday,The Cranberries,1993-03-01,everybody.jpg
91,Ode To Viceroy,Mac DeMarco,2013-08-09,two.png
92,Mascara,Deftones,1997-10-27,atf.jpg
93,House Of Cards,Radiohead,2007-12-28,inrainbows.png
94,"Come On, Let's Go","Tyler, The Creator,Nigo",2022-03-25,iknow.jpg
95,Ric Flair Drip,"Offset,Metro Boomin",2017-10-30,withoutwarning.png
96,Linger,The Cranberries,1993-03-01,everybody.jpg
97,Down Is The New Up,Radiohead,2007,inrainbows2.jpg
98,Money Longer,Lil Uzi Vert,2016-05-27,moneylonger.jpg
99,Pink + White,Frank Ocean,2016-08-20,blond.jpg
100,Throw Sum Mo,"Rae Sremmurd,Nicki Minaj,Young Thug",2015-01-06,sremmlife.jpg